GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project,org.troy.capstone.managers,UIElementManager,0,208,0,2,0,52,0,21,0,20
Project,org.troy.capstone.managers,GeneralManager,0,67,0,0,0,19,0,9,0,9
Project,org.troy.capstone.entities,Item,0,223,0,15,0,50,0,18,0,4
Project,org.troy.capstone.ui_components.items,AttributedItemContainer.new Task() {...},0,18,0,0,0,2,0,2,0,2
Project,org.troy.capstone.ui_components.items,AttributedItemContainer,5,207,1,1,2,52,2,9,1,9
Project,org.troy.capstone,Main,126,0,0,0,28,0,3,0,3,0
Project,org.troy.capstone.utils,Converters,0,6,0,0,0,1,0,1,0,1
Project,org.troy.capstone.utils,UIUtils,0,25,0,4,0,7,0,3,0,1
Project,org.troy.capstone.utils,TableUtils,0,125,0,0,0,38,0,10,0,10
Project,org.troy.capstone.constants,UISizeControl,0,186,0,0,0,25,0,3,0,3
Project,org.troy.capstone.constants,DataPath,0,78,0,0,0,13,0,4,0,4
Project,org.troy.capstone.constants,URL,0,42,0,0,0,9,0,3,0,3
Project,org.troy.capstone.constants,UIElementName,0,59,0,0,0,12,0,4,0,4
Project,org.troy.capstone.constants,TableColumnName,0,126,0,0,0,22,0,4,0,4
Project,org.troy.capstone.constants,UIDataName,0,52,0,0,0,11,0,4,0,4
Project,org.troy.capstone.ui_components.filters.categorical,FilterPanel,3,45,0,0,1,13,1,2,1,2
Project,org.troy.capstone.ui_components.filters.categorical,FiltersContainer,0,223,0,8,0,45,0,12,0,8
Project,org.troy.capstone.ui_components.price_slider,PriceSlider,0,228,0,4,0,43,0,11,0,9
Project,org.troy.capstone.ui_components.items.searched,SearchedItemPanel,0,221,0,0,0,38,0,7,0,7
Project,org.troy.capstone.ui_components.items.searched,SearchedItemContainer,0,50,0,2,0,15,0,4,0,3
Project,org.troy.capstone.ui_components.items.searched,SearchedItemPagination,8,124,0,4,0,31,2,9,2,7
Project,org.troy.capstone.search_engine.query,MyBM25,288,0,6,0,56,0,8,0,5,0
Project,org.troy.capstone.ui_components.search_bar,SearchBar,0,69,0,0,0,14,0,4,0,4
Project,org.troy.capstone.data_structures.ItemTable,ItemHashMap,2,306,2,16,0,45,2,17,0,10
Project,org.troy.capstone.data_structures.ItemTable,IdHashKey,0,126,0,8,0,33,0,15,0,11
Project,org.troy.capstone.data_structures.ItemTable,SieveOfEratosthenes,0,115,0,16,0,29,0,13,0,5
Project,org.troy.capstone.search_engine,SearchEngine,0,407,2,38,0,97,2,26,0,8
Project,org.troy.capstone.data_structures,PriceRangeFinder,0,60,0,2,0,11,0,5,0,4
Project,org.troy.capstone.ui_components.filters.stars,StarRatingFilter,0,229,0,14,0,48,0,17,0,10
