GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project,org.troy.capstone.managers,UIElementManager,0,204,0,2,0,50,0,20,0,19
Project,org.troy.capstone.managers,GeneralManager,0,63,0,0,0,17,0,8,0,8
Project,org.troy.capstone.entities,Item,1,224,1,15,1,50,1,18,0,4
Project,org.troy.capstone.ui_components.items,AttributedItemContainer.new Task() {...},0,18,0,0,0,2,0,2,0,2
Project,org.troy.capstone.ui_components.items,AttributedItemContainer,5,207,1,1,2,52,2,9,1,9
Project,org.troy.capstone,Main,126,0,0,0,28,0,3,0,3,0
Project,org.troy.capstone.utils,Converters,0,6,0,0,0,1,0,1,0,1
Project,org.troy.capstone.utils,UIUtils,0,25,0,4,0,7,0,3,0,1
Project,org.troy.capstone.utils,TableUtils,0,125,0,0,0,38,0,10,0,10
Project,org.troy.capstone.constants,UISizeControl,0,186,0,0,0,25,0,3,0,3
Project,org.troy.capstone.constants,DataPath,0,78,0,0,0,13,0,4,0,4
Project,org.troy.capstone.constants,URL,0,42,0,0,0,9,0,3,0,3
Project,org.troy.capstone.constants,UIElementName,0,56,0,0,0,11,0,3,0,3
Project,org.troy.capstone.constants,TableColumnName,0,133,0,0,0,23,0,4,0,4
Project,org.troy.capstone.constants,UIDataName,0,49,0,0,0,10,0,3,0,3
Project,org.troy.capstone.ui_components.filters.categorical,FilterPanel,3,45,0,0,1,13,1,2,1,2
Project,org.troy.capstone.ui_components.filters.categorical,FiltersContainer,0,220,0,8,0,44,0,11,0,7
Project,org.troy.capstone.ui_components.price_slider,PriceSlider,0,204,0,4,0,36,0,6,0,4
Project,org.troy.capstone.ui_components.items.searched,SearchedItemPanel,0,221,0,0,0,38,0,7,0,7
Project,org.troy.capstone.ui_components.items.searched,SearchedItemContainer,0,46,0,2,0,14,0,3,0,2
Project,org.troy.capstone.ui_components.items.searched,SearchedItemPagination,8,124,0,4,0,31,2,9,2,7
Project,org.troy.capstone.search_engine.query,MyBM25,281,0,10,0,59,0,8,0,3,0
Project,org.troy.capstone.ui_components.search_bar,SearchBar,0,69,0,0,0,14,0,4,0,4
Project,org.troy.capstone.data_structures.ItemTable,ItemHashMap,2,306,2,16,0,45,2,17,0,10
Project,org.troy.capstone.data_structures.ItemTable,IdHashKey,0,120,0,8,0,29,0,13,0,9
Project,org.troy.capstone.data_structures.ItemTable,SieveOfEratosthenes,0,115,0,16,0,29,0,13,0,5
Project,org.troy.capstone.search_engine,SearchEngine,9,478,4,36,4,106,4,25,0,9
Project,org.troy.capstone.search_engine,QueryFilter,10,344,2,12,3,65,2,9,0,4
Project,org.troy.capstone.data_structures,PriceRangeFinder,0,60,0,2,0,11,0,5,0,4
Project,org.troy.capstone.ui_components.filters.stars,StarRatingFilter,0,229,0,14,0,48,0,17,0,10
