GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Project,org.troy.capstone.data_structures.item_table,SieveOfEratosthenes,0,115,0,16,0,29,0,13,0,5
Project,org.troy.capstone.data_structures.item_table,ItemHashMap,0,346,0,16,0,53,0,21,0,13
Project,org.troy.capstone.data_structures.item_table,IdHashKey,0,123,0,8,0,29,0,14,0,10
Project,org.troy.capstone.search_engine.sorting,InsertionSort,0,49,0,6,0,9,0,4,0,1
Project,org.troy.capstone.search_engine.sorting,LongWrapper,0,20,0,0,0,8,0,5,0,5
Project,org.troy.capstone.search_engine.sorting,Sorter,0,128,0,18,0,33,0,13,0,4
Project,org.troy.capstone.search_engine.sorting,QuickSort,0,91,0,6,0,19,0,7,0,4
Project,org.troy.capstone.managers,UIElementManager,0,232,0,2,0,56,0,22,0,21
Project,org.troy.capstone.managers,RecentlyViewedManager,0,42,0,0,0,11,0,3,0,3
Project,org.troy.capstone.managers,SimilarItemsManager,0,42,0,0,0,10,0,3,0,3
Project,org.troy.capstone.managers,GeneralManager,0,171,0,16,0,31,0,18,0,10
Project,org.troy.capstone.entities,Item,0,401,0,22,0,67,0,24,0,6
Project,org.troy.capstone.ui_components.items,AttributedItemContainer.new Task() {...},0,18,0,0,0,2,0,2,0,2
Project,org.troy.capstone.ui_components.items,RecentlyViewedWindow,0,58,0,0,0,14,0,3,0,3
Project,org.troy.capstone.ui_components.items,AttributedItemContainer,18,187,0,0,6,41,0,9,0,9
Project,org.troy.capstone.ui_components.items,SimilarItemsContainer,0,64,0,0,0,17,0,3,0,3
Project,org.troy.capstone.ui_components.items,SearchedItemPanel,11,233,0,0,0,45,2,8,2,8
Project,org.troy.capstone.ui_components,SearchBar.new ListCell() {...},0,25,1,3,0,6,1,3,0,2
Project,org.troy.capstone.ui_components,SearchBar.new ListCell() {...},0,41,1,3,0,9,1,3,0,2
Project,org.troy.capstone.ui_components,SearchBar,2,182,1,1,0,36,1,8,0,8
Project,org.troy.capstone.ui_components,PriceSlider,0,210,0,4,0,38,0,8,0,6
Project,org.troy.capstone.utils,Converters,0,6,0,0,0,1,0,1,0,1
Project,org.troy.capstone.utils,UIUtils,0,61,0,4,0,11,0,4,0,2
Project,org.troy.capstone.utils,TableUtils,0,85,0,2,0,22,0,7,0,6
Project,org.troy.capstone.constants,UISizeControl,0,259,0,0,0,32,0,3,0,3
Project,org.troy.capstone.constants,DataPath,0,35,0,0,0,8,0,3,0,3
Project,org.troy.capstone.constants,ItemSimilarityWeights,0,77,0,0,0,14,0,3,0,3
Project,org.troy.capstone.constants,URL,0,42,0,0,0,9,0,3,0,3
Project,org.troy.capstone.constants,UIElementName,0,77,0,0,0,14,0,3,0,3
Project,org.troy.capstone.constants,TableColumnName,0,133,0,0,0,23,0,4,0,4
Project,org.troy.capstone.constants,UIDataName,0,56,0,0,0,11,0,3,0,3
Project,org.troy.capstone.constants,TestFXId,0,84,0,0,0,15,0,3,0,3
Project,org.troy.capstone.ui_components.filters.categorical,FiltersContainer,0,194,0,6,0,44,0,11,0,8
Project,org.troy.capstone.ui_components.filters.categorical,FilterPanel,0,55,0,0,0,14,0,2,0,2
Project,org.troy.capstone.search_engine.sorting.comparator,RowComparator,0,180,0,19,0,29,0,19,0,7
Project,org.troy.capstone.search_engine.sorting.comparator,RowComparator.SortType,0,39,0,0,0,7,0,1,0,1
Project,org.troy.capstone.ui_components.items.searched,SearchedItemContainer,0,165,0,8,0,41,0,16,0,12
Project,org.troy.capstone.ui_components.items.searched,SearchedItemPagination,0,136,0,0,0,25,0,7,0,7
Project,org.troy.capstone.ui_components.filters,StarRatingFilter,0,231,0,14,0,47,0,16,0,9
Project,org.troy.capstone.data_structures,SimilarItemsGraph.Edge,0,18,0,0,0,6,0,3,0,3
Project,org.troy.capstone.data_structures,SearchedItemsLinkedList.ItemListNode,0,23,0,0,0,10,0,6,0,6
Project,org.troy.capstone.data_structures,SearchedItemsLinkedList,0,120,0,12,0,36,0,10,0,4
Project,org.troy.capstone.data_structures,SimilarItemsGraph,5,377,0,22,0,72,1,25,1,14
Project,org.troy.capstone.data_structures,PriceTree,0,60,0,2,0,11,0,5,0,4
Project,org.troy.capstone.data_structures,RecentlyViewedQueue,0,82,0,4,0,20,0,7,0,5
Project,org.troy.capstone.search_engine,SearchEngine,0,471,0,34,0,100,0,25,0,8
Project,org.troy.capstone.search_engine,PriceFilter,0,15,0,0,0,4,0,2,0,2
Project,org.troy.capstone.search_engine,QueryFilter,0,351,0,12,0,69,0,11,0,5
